,Total_Cumulative_Event_Rainfall,Total_Cumulative_Event_Rainfall,Total_Cumulative_Event_Rainfall,Total_Cumulative_Event_Rainfall,rainfall_intensity,rainfall_intensity,rainfall_intensity,rainfall_intensity,pre_peak_cumulative_rain,pre_peak_cumulative_rain,pre_peak_cumulative_rain,pre_peak_cumulative_rain,post_peak_cumulative_rain,post_peak_cumulative_rain,post_peak_cumulative_rain,post_peak_cumulative_rain,pre_peak_intensity,pre_peak_intensity,pre_peak_intensity,pre_peak_intensity,post_peak_intensity,post_peak_intensity,post_peak_intensity,post_peak_intensity
,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std
new_event,,,,,,,,,,,,,,,,,,,,,,,,
9970,0.0,1.6241666666666663,0.8806672705314009,0.45143244525166415,0.0,0.0058846618357487,0.0031908234439542984,0.0016356248016364562,0.0,1.6241666666666663,0.8422282608695653,0.5040977104162484,0.0,1.6241666666666663,0.8806672705314009,0.45143244525166415,-0.0,1.6241666666666663,0.8422282608695653,0.5040977104162484,0.0,0.013606557377049168,0.006298960329829026,0.0026436732705504245
14876,0.0,0.7883333333333326,0.32804166666666645,0.28565067788290793,0.0,0.0098541666666666,0.004100520833333279,0.003570633473536345,0.0,0.7883333333333326,0.2354999999999999,0.32433358593404754,0.0,0.7883333333333326,0.32804166666666645,0.28565067788290793,-0.0,0.7883333333333326,0.2354999999999999,0.32433358593404754,0.0,0.014567901234567884,0.00641614446008113,0.0038525677190202464
15107,0.0,0.6383333333333336,0.1691231884057971,0.24238009343075043,0.0,0.0055994152046783,0.0014835367404016967,0.002126141170445165,0.0,0.6383333333333336,0.11810869565217393,0.24398900092994863,0.0,0.6383333333333336,0.1691231884057971,0.24238009343075043,-0.0,0.6383333333333336,0.11810869565217393,0.24398900092994863,0.0,0.0065438596491228075,0.0018697762177837722,0.0022988512576507503
15144,0.0,1.281666666666667,0.7812413793103447,0.3895968892130737,0.0,0.0089004629629629,0.005425287356321789,0.0027055339528685627,0.0,1.276666666666666,0.39897126436781605,0.5605826892813621,0.0,1.281666666666667,0.7812413793103447,0.3895968892130737,-0.0,1.276666666666666,0.39897126436781605,0.5605826892813621,0.0,0.015600775193798443,0.01082644678136664,0.00282603441571334
15171,0.0,0.8149999999999993,0.47060386473429916,0.24597641652602056,0.0,0.005948905109489,0.0034350647060897264,0.001795448295810372,0.0,0.8149999999999993,0.22263285024154578,0.3499455589448609,0.0,0.8149999999999993,0.47060386473429916,0.24597641652602056,-0.0,0.8149999999999993,0.22263285024154578,0.3499455589448609,0.0,0.015333333333333274,0.007021297593551482,0.0024242185095947463
15360,0.0,1.5091666666666663,0.7556646423751685,0.5178095255167188,0.0,0.0061348238482384,0.0030718074893299058,0.0021049167703931677,0.0,1.5091666666666663,0.5726686909581646,0.65478000151181,0.0,1.5091666666666663,0.7556646423751685,0.5178095255167188,-0.0,1.5091666666666663,0.5726686909581646,0.65478000151181,0.0,0.008386904761904769,0.005520904310334841,0.0015938475228844653
15451,0.0,1.0383333333333329,0.5575351405622485,0.32669764273370266,0.0,0.0062929292929292,0.00337900085189237,0.0019799857135375963,0.0,1.0383333333333329,0.29923694779116455,0.44454939174100117,0.0,1.0383333333333329,0.5575351405622485,0.32669764273370266,-0.0,1.0383333333333329,0.29923694779116455,0.44454939174100117,0.0,0.020833333333333325,0.007103784447204981,0.002529373278894573
28283,0.0,1.304999999999999,0.6521275455519827,0.2890449562373475,0.0,0.0042096774193548,0.0021036372437160315,0.0009324030846366059,0.0,1.304999999999999,0.09596195069667737,0.33245214369688697,0.0,1.304999999999999,0.6521275455519827,0.2890449562373475,-0.0,1.304999999999999,0.09596195069667737,0.33245214369688697,0.0,0.013894927536231875,0.004866948004591998,0.0021994979054762594
28515,0.0,1.8058333333333327,0.9621513409961686,0.5112753840405098,0.0,0.004160906298003,0.0022169385737238366,0.0011780538802776664,0.0,1.8058333333333327,0.4013505747126437,0.7234537030928394,0.0,1.8058333333333327,0.9621513409961686,0.5112753840405098,-0.0,1.8058333333333327,0.4013505747126437,0.7234537030928394,0.0,0.00793238993710692,0.004593411110898122,0.001338289096054982
45793,0.0,1.1808333333333336,0.7424425287356322,0.35363486457259746,0.0,0.0102681159420289,0.006456021989005449,0.003075085778892134,0.0,1.1808333333333336,0.6601508620689656,0.4400171082414231,0.0,1.1808333333333336,0.7424425287356322,0.35363486457259746,-0.0,1.1808333333333336,0.6601508620689656,0.4400171082414231,0.0,0.02475806451612904,0.012871439052275408,0.0060577261871498965
52376,0.0,1.7624999999999995,0.9852275769745649,0.5270788692214982,0.0,0.0071068548387096,0.003972691842639331,0.002125318021054426,0.0,1.7624999999999995,0.7441432396251673,0.7309686581656332,0.0,1.7624999999999995,0.9852275769745649,0.5270788692214982,-0.0,1.7624999999999995,0.7441432396251673,0.7309686581656332,0.0,0.02955882352941178,0.008678973196587666,0.003906916104778077
52394,0.0,3.1183333333333327,2.580042598509052,0.4711139801160097,0.0,0.0099946581196581,0.008269367302913585,0.001509980705500037,0.0,3.1183333333333327,2.2544675186368477,1.091879346784133,0.0,3.1183333333333327,2.580042598509052,0.4711139801160097,-0.0,3.1183333333333327,2.2544675186368477,1.091879346784133,0.0,0.8483333333333332,0.03465047104679418,0.0703562624962382
52985,0.0,1.2191666666666665,0.375196078431372,0.3558493294976058,0.0,0.0047810457516339,0.0014713571703190646,0.001395487566657272,0.0,1.2191666666666665,0.3311535947712414,0.38626498765205913,0.0,1.2191666666666665,0.375196078431372,0.3558493294976058,-0.0,1.2191666666666665,0.3311535947712414,0.38626498765205913,0.0,0.005166666666666641,0.002364493493823554,0.001444406437325884
58218,0.0,0.8858333333333335,0.594731707317073,0.20828789333877362,0.0,0.0043423202614379,0.002915351506456194,0.0010210190849939866,0.0,0.8858333333333335,0.401890243902439,0.3868711525615581,0.0,0.8858333333333335,0.594731707317073,0.20828789333877362,-0.0,0.8858333333333335,0.401890243902439,0.3868711525615581,0.0,0.02856060606060602,0.00772891129229311,0.004933999106819752
